artist_id,artist_name,birth_year,death_year,nationality,gender,primary_medium,artist_website_url,bio_source_url,bio_confidence_score,gallery_name,gallery_city,gallery_country,gallery_tier,gallery_prestige_score,gallery_start_date,gallery_source_url,gallery_confidence_score,museum_name,museum_city,museum_country,museum_tier,museum_event_type,event_name,event_start_date,event_end_date,event_source_url,event_confidence_score,acquisition_date,acquisition_value_usd,acquisition_source_url,acquisition_confidence_score,art_fair_name,art_fair_date,art_fair_city,art_fair_country,art_fair_source_url,art_fair_confidence_score,auction_house,sale_name,lot_number,sale_date,work_title,work_medium,creation_year,estimate_low_usd,estimate_high_usd,price_usd,currency,auction_source_url,auction_confidence_score,press_outlet,article_title,article_author,publication_date,article_url,mention_count,sentiment_score,press_confidence_score,collector_name,collector_type,collector_source_url,collector_confidence_score,curator_name,curator_source_url,curator_confidence_score,notes
artist_wolfgang_tillmans,Wolfgang Tillmans,1968,,Germany,male,,,https://www.tillmans.co.uk/biography-&-bibliography,1.00,Maureen Paley,London,United Kingdom,major,,,https://www.maureenpaley.com/artists/wolfgang-tillmans/biography,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,1.00,David Zwirner,,,mega,,,https://www.davidzwirner.com/artists/wolfgang-tillmans,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,David Zwirner,New York,United States,,,,,1.00,,,,,gallery_exhibition,Fold Me,2023-09-07,2023-10-14,https://www.davidzwirner.com/exhibitions/2023/wolfgang-tillmans-fold-me,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,David Zwirner,Hong Kong,China,,,,,1.00,,,,,gallery_exhibition,The Point Is Matter,2024-03-25,2024-05-11,https://www.davidzwirner.com/exhibitions/2024/wolfgang-tillmans-the-point-is-matter,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,Maureen Paley,London,United Kingdom,,,,,1.00,,,,,gallery_exhibition,Build From Here,2025-10-03,2025-12-20,https://www.maureenpaley.com/exhibitions/wolfgang-tillmans-build-from-here,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,Maureen Paley,Hove,United Kingdom,,,,,1.00,,,,,gallery_exhibition,Moon in Earthlight,2021-06-30,2021-09-05,https://www.maureenpaley.com/exhibitions/wolfgang-tillmans-10,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Times,Wolfgang Tillmans at the Pompidou is the best show of his career,Jackie Wullschläger,2025-07-19,https://www.ft.com/content/5398d3bf-8ff9-4271-b726-fccff22b9102,5,0.9,1.00,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Guardian,‘Blue Monday is one of the 20th century’s greatest artworks’: Wolfgang Tillmans on swapping his camera for a microphone,Alexis Petridis,2024-04-04,https://www.theguardian.com/artanddesign/2024/apr/04/wolfgang-tillmans-build-from-here-interview,5,0.8,1.00,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie's,Post-War And Contemporary Art Afternoon Session,818,2017-05-18,Freischwimmer 102,Chromogenic print,2004,180000,250000,403500,USD,https://www.christies.com/en/lot/lot-6075484,1.00,,,,,,,,,,,,,,,,
artist_wolfgang_tillmans,Wolfgang Tillmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotheby's,Property From The Elton John Aids Foundation,118,2022-03-16,Utoquai 9,Injket print in artist's frame,2012,7000,9000,15120,USD,https://www.sothebys.com/en/buy/auction/2022/contemporary-discoveries/karl-utoquai-9,1.00,,,,,,,,,,,,,,,,
